Element Number		Airfoil		CL		AOA
1		NACA9811		1.231		20.000		7.092891e+03
2		NACA7810		1.289		20.000		1.195632e+04
3		NACA9810		1.412		20.000		1.489649e+04
4		NACA9710		1.391		20.000		1.680369e+04
5		NACA9810		1.428		20.000		1.811632e+04
6		NACA9810		1.436		20.000		1.906361e+04
7		NACA8810		1.393		20.000		1.977409e+04
8		NACA7810		1.447		9.796		2.032405e+04
9		NACA9811		1.405		20.000		2.076102e+04
10		NACA9811		1.411		20.000		2.111583e+04
11		NACA9811		1.405		20.000		2.140927e+04
12		NACA9610		1.347		20.000		2.165575e+04
13		NACA9811		1.413		20.000		2.186558e+04
14		NACA9811		1.420		20.000		2.204628e+04
15		NACA8810		1.532		9.796		2.220347e+04
